attendance_id,student_id,date,status,recorded_by
1,1,2026-01-12,present,1
2,1,2026-01-13,present,1
3,1,2026-01-14,present,1
4,1,2026-01-15,late,1
5,1,2026-01-16,present,1
6,2,2026-01-12,late,2
7,2,2026-01-13,absent,2
8,2,2026-01-14,present,2
9,2,2026-01-15,present,2
10,2,2026-01-16,present,2
11,3,2026-01-12,present,3
12,3,2026-01-13,present,3
13,3,2026-01-14,present,3
14,3,2026-01-15,present,3
15,3,2026-01-16,present,3
16,4,2026-01-12,present,3
17,4,2026-01-13,late,3
18,4,2026-01-14,absent,3
19,4,2026-01-15,present,3
20,4,2026-01-16,present,3
21,5,2026-01-12,present,3
22,5,2026-01-13,absent,3
23,5,2026-01-14,absent,3
24,5,2026-01-15,present,3
25,5,2026-01-16,present,3
26,6,2026-01-12,present,3
27,6,2026-01-13,present,3
28,6,2026-01-14,present,3
29,6,2026-01-15,present,3
30,6,2026-01-16,present,3
31,7,2026-01-12,present,2
32,7,2026-01-13,present,2
33,7,2026-01-14,present,2
34,7,2026-01-15,present,2
35,7,2026-01-16,absent,2
36,8,2026-01-12,absent,2
37,8,2026-01-13,present,2
38,8,2026-01-14,present,2
39,8,2026-01-15,present,2
40,8,2026-01-16,absent,2
41,9,2026-01-12,late,1
42,9,2026-01-13,present,1
43,9,2026-01-14,present,1
44,9,2026-01-15,present,1
45,9,2026-01-16,present,1
46,10,2026-01-12,present,3
47,10,2026-01-13,present,3
48,10,2026-01-14,present,3
49,10,2026-01-15,present,3
50,10,2026-01-16,present,3
