guardian_id,student_id,academic_year,term,student_fee_payment_days_late,student_fee_default_count_lifetime,session_start_paid_flag,guardian_message_open_rate,guardian_avg_response_time_hrs,fee_default_risk_label
GRD-00001,STU-00001,2025,Third_Term_May_Jul,28,0,0,88.8,2.1,LOW
GRD-00002,STU-00002,2024,Third_Term_May_Jul,15,0,0,32.6,,MEDIUM
GRD-00003,STU-00003,2024,First_Term_Sep_Dec,19,0,0,22.7,,MEDIUM
GRD-00004,STU-00004,2024,Third_Term_May_Jul,161,3,0,0.0,,HIGH
GRD-00005,STU-00005,2025,Second_Term_Jan_Apr,90,2,0,5.7,,HIGH
GRD-00006,STU-00006,2025,First_Term_Sep_Dec,20,0,0,95.9,3.3,LOW
GRD-00007,STU-00007,2023,Third_Term_May_Jul,59,1,0,31.5,74.0,MEDIUM
GRD-00008,STU-00008,2023,First_Term_Sep_Dec,17,0,0,22.3,0.5,LOW
GRD-00009,STU-00009,2023,Second_Term_Jan_Apr,90,4,0,0.8,,HIGH
GRD-00010,STU-00010,2023,Second_Term_Jan_Apr,28,1,0,79.7,4.6,LOW
GRD-00011,STU-00011,2023,First_Term_Sep_Dec,13,0,0,94.5,2.9,LOW
GRD-00012,STU-00012,2025,Second_Term_Jan_Apr,15,0,0,30.3,,MEDIUM
GRD-00013,STU-00013,2025,Third_Term_May_Jul,0,1,1,86.5,5.8,LOW
GRD-00014,STU-00014,2023,Second_Term_Jan_Apr,73,1,0,21.1,89.5,MEDIUM
GRD-00015,STU-00015,2023,Third_Term_May_Jul,28,1,0,91.0,4.6,LOW
GRD-00016,STU-00016,2023,First_Term_Sep_Dec,0,1,1,18.5,83.3,LOW
GRD-00017,STU-00017,2023,Second_Term_Jan_Apr,0,2,1,33.2,95.1,LOW
GRD-00018,STU-00018,2024,First_Term_Sep_Dec,20,3,0,31.3,35.3,MEDIUM
GRD-00019,STU-00019,2023,First_Term_Sep_Dec,0,2,1,23.9,58.6,LOW
GRD-00020,STU-00020,2023,Second_Term_Jan_Apr,112,1,0,34.4,77.1,MEDIUM
GRD-00021,STU-00021,2023,Second_Term_Jan_Apr,0,1,1,32.3,43.3,LOW
GRD-00022,STU-00022,2023,Second_Term_Jan_Apr,0,2,1,24.3,75.9,LOW
GRD-00023,STU-00023,2024,Third_Term_May_Jul,40,0,0,95.6,2.4,LOW
GRD-00024,STU-00024,2023,First_Term_Sep_Dec,90,1,0,13.2,,MEDIUM
GRD-00025,STU-00025,2025,First_Term_Sep_Dec,19,0,0,96.6,4.3,LOW
GRD-00026,STU-00026,2024,Second_Term_Jan_Apr,32,2,0,31.5,60.3,MEDIUM
GRD-00027,STU-00027,2024,First_Term_Sep_Dec,64,1,0,23.4,74.5,MEDIUM
GRD-00028,STU-00028,2025,Third_Term_May_Jul,41,1,0,26.7,43.3,MEDIUM
GRD-00029,STU-00029,2023,Third_Term_May_Jul,30,1,0,86.3,1.7,LOW
GRD-00030,STU-00030,2025,Second_Term_Jan_Apr,28,0,0,88.8,2.3,LOW
GRD-00031,STU-00031,2025,Third_Term_May_Jul,28,1,0,93.9,4.8,LOW
GRD-00032,STU-00032,2025,First_Term_Sep_Dec,0,2,1,26.2,53.9,LOW
GRD-00033,STU-00033,2024,First_Term_Sep_Dec,90,5,0,3.2,,HIGH
GRD-00034,STU-00034,2025,Second_Term_Jan_Apr,17,0,0,34.3,,MEDIUM
GRD-00035,STU-00035,2024,First_Term_Sep_Dec,49,1,0,28.3,59.2,MEDIUM
GRD-00036,STU-00036,2023,Second_Term_Jan_Apr,42,1,0,80.9,8.2,LOW
GRD-00037,STU-00037,2023,First_Term_Sep_Dec,0,0,0,27.0,41.2,LOW
GRD-00038,STU-00038,2025,First_Term_Sep_Dec,18,0,0,30.7,0.6,LOW
GRD-00039,STU-00039,2025,Second_Term_Jan_Apr,41,1,0,82.1,3.2,LOW
GRD-00040,STU-00040,2024,Third_Term_May_Jul,23,1,0,92.7,6.4,LOW
GRD-00041,STU-00041,2023,Third_Term_May_Jul,28,1,0,100.0,4.9,LOW
GRD-00042,STU-00042,2024,First_Term_Sep_Dec,22,1,0,24.7,43.9,LOW
GRD-00043,STU-00043,2025,First_Term_Sep_Dec,19,2,0,25.2,79.5,LOW
GRD-00044,STU-00044,2025,First_Term_Sep_Dec,78,1,0,27.1,68.0,MEDIUM
GRD-00045,STU-00045,2023,First_Term_Sep_Dec,108,3,0,1.3,,HIGH
GRD-00046,STU-00046,2024,Second_Term_Jan_Apr,106,0,0,2.9,,HIGH
GRD-00047,STU-00047,2024,Second_Term_Jan_Apr,51,1,0,32.9,47.5,MEDIUM
GRD-00048,STU-00048,2023,Second_Term_Jan_Apr,90,4,0,3.7,,HIGH
GRD-00049,STU-00049,2023,First_Term_Sep_Dec,0,2,1,13.5,60.7,LOW
GRD-00050,STU-00050,2024,First_Term_Sep_Dec,18,0,0,30.7,,MEDIUM
GRD-00051,STU-00051,2023,Third_Term_May_Jul,10,0,0,27.9,0.4,LOW
GRD-00052,STU-00052,2023,Third_Term_May_Jul,56,1,0,19.7,64.0,MEDIUM
GRD-00053,STU-00053,2024,Third_Term_May_Jul,32,0,0,90.4,4.9,LOW
GRD-00054,STU-00054,2024,First_Term_Sep_Dec,51,1,0,26.1,45.1,MEDIUM
GRD-00055,STU-00055,2023,Third_Term_May_Jul,30,0,0,100.0,5.8,LOW
GRD-00056,STU-00056,2023,Second_Term_Jan_Apr,55,1,0,75.2,6.6,LOW
GRD-00057,STU-00057,2025,Second_Term_Jan_Apr,37,1,0,76.8,2.5,LOW
GRD-00058,STU-00058,2025,Third_Term_May_Jul,17,0,0,27.0,,MEDIUM
GRD-00059,STU-00059,2023,Second_Term_Jan_Apr,38,1,0,20.7,71.7,MEDIUM
GRD-00060,STU-00060,2024,First_Term_Sep_Dec,101,4,0,9.6,,HIGH
GRD-00061,STU-00061,2025,First_Term_Sep_Dec,93,1,0,3.3,,HIGH
GRD-00062,STU-00062,2023,First_Term_Sep_Dec,15,0,0,100.0,4.6,LOW
GRD-00063,STU-00063,2025,First_Term_Sep_Dec,15,0,0,20.7,0.3,LOW
GRD-00064,STU-00064,2024,Third_Term_May_Jul,0,2,1,30.1,38.6,LOW
GRD-00065,STU-00065,2025,First_Term_Sep_Dec,44,2,0,25.1,75.4,MEDIUM
GRD-00066,STU-00066,2024,Third_Term_May_Jul,0,0,1,95.6,2.9,LOW
GRD-00067,STU-00067,2025,Second_Term_Jan_Apr,23,2,0,18.2,57.2,LOW
GRD-00068,STU-00068,2024,First_Term_Sep_Dec,0,1,1,16.6,34.2,LOW
GRD-00069,STU-00069,2023,First_Term_Sep_Dec,14,0,0,89.9,2.5,LOW
GRD-00070,STU-00070,2023,First_Term_Sep_Dec,20,0,0,30.9,,MEDIUM
GRD-00071,STU-00071,2023,First_Term_Sep_Dec,90,2,0,13.2,,MEDIUM
GRD-00072,STU-00072,2024,First_Term_Sep_Dec,0,0,1,89.9,5.0,LOW
GRD-00073,STU-00073,2023,First_Term_Sep_Dec,22,1,0,92.9,3.8,LOW
GRD-00074,STU-00074,2025,Third_Term_May_Jul,25,1,0,90.8,5.1,LOW
GRD-00075,STU-00075,2024,Second_Term_Jan_Apr,45,2,0,19.8,53.1,MEDIUM
GRD-00076,STU-00076,2025,Third_Term_May_Jul,177,5,0,0.0,,HIGH
GRD-00077,STU-00077,2023,Third_Term_May_Jul,30,0,0,87.3,5.0,LOW
GRD-00078,STU-00078,2024,Second_Term_Jan_Apr,124,3,0,0.0,,HIGH
GRD-00079,STU-00079,2024,First_Term_Sep_Dec,21,0,0,91.9,4.2,LOW
GRD-00080,STU-00080,2023,First_Term_Sep_Dec,90,4,0,6.9,,HIGH
GRD-00081,STU-00081,2025,Second_Term_Jan_Apr,37,1,0,82.8,6.4,LOW
GRD-00082,STU-00082,2023,First_Term_Sep_Dec,20,0,0,30.4,0.5,LOW
GRD-00083,STU-00083,2024,Third_Term_May_Jul,27,1,0,99.6,3.1,LOW
GRD-00084,STU-00084,2024,First_Term_Sep_Dec,18,0,0,29.3,,MEDIUM
GRD-00085,STU-00085,2024,First_Term_Sep_Dec,21,0,0,86.0,1.9,LOW
GRD-00086,STU-00086,2024,Third_Term_May_Jul,19,0,0,20.2,0.4,LOW
GRD-00087,STU-00087,2024,Third_Term_May_Jul,11,0,0,35.7,0.1,LOW
GRD-00088,STU-00088,2023,Third_Term_May_Jul,19,0,0,25.5,,MEDIUM
GRD-00089,STU-00089,2025,First_Term_Sep_Dec,48,1,0,22.8,58.0,MEDIUM
GRD-00090,STU-00090,2023,First_Term_Sep_Dec,16,0,0,90.5,4.4,LOW
GRD-00091,STU-00091,2023,Second_Term_Jan_Apr,37,1,0,73.5,1.7,LOW
GRD-00092,STU-00092,2023,First_Term_Sep_Dec,15,0,0,90.2,3.3,LOW
GRD-00093,STU-00093,2024,First_Term_Sep_Dec,0,1,1,24.9,67.8,LOW
GRD-00094,STU-00094,2025,Third_Term_May_Jul,18,1,0,92.7,3.4,LOW
