lesson_id,school_id,teacher_id,persona,subject_id,class_arm_id,room_id,room_type_matches_subject,day_of_week,start_time,end_time,consecutive_period_count,time_slot_hour,soft_preference_score
SCH-001-LSN-0001,SCH-001,TCH-00001,overworked_generalist,PHE,SS3A,ROOM-SS3A,1,Thursday,8:40,12:20,5,8:40,1.33
SCH-001-LSN-0002,SCH-001,TCH-00001,overworked_generalist,PHE,SS2A,ROOM-SS2A,1,Tuesday,9:20,13:00,5,9:20,1.46
SCH-001-LSN-0003,SCH-001,TCH-00001,overworked_generalist,CRS,SS1A,ROOM-SS1A,1,Friday,8:40,12:20,5,8:40,1.23
SCH-001-LSN-0004,SCH-001,TCH-00001,overworked_generalist,PHE,JSS3B,ROOM-JSS3B,1,Monday,8:40,12:20,5,8:40,1.4
SCH-001-LSN-0005,SCH-001,TCH-00001,overworked_generalist,PHE,SS1B,ROOM-SS1B,1,Wednesday,8:40,12:20,5,8:40,1.42
SCH-001-LSN-0006,SCH-001,TCH-00002,hustling_subject_specialist,Physics,SS3A,SCI-LAB-01,1,Monday,8:00,9:20,2,8:00,4
SCH-001-LSN-0007,SCH-001,TCH-00002,hustling_subject_specialist,Physics,SS3A,SCI-LAB-01,1,Monday,9:20,10:40,2,9:20,4
SCH-001-LSN-0008,SCH-001,TCH-00002,hustling_subject_specialist,Physics,SS2B,SCI-LAB-01,1,Monday,10:40,12:20,2,10:40,4
SCH-001-LSN-0009,SCH-001,TCH-00002,hustling_subject_specialist,Further Mathematics,SS2A,ROOM-SS2A,1,Tuesday,8:00,9:20,2,8:00,4
SCH-001-LSN-0010,SCH-001,TCH-00003,overworked_generalist,CRS,SS1B,ROOM-SS1B,1,Tuesday,8:40,10:40,3,8:40,1.43
SCH-001-LSN-0011,SCH-001,TCH-00003,overworked_generalist,Basic Technology,JSS2B,ROOM-JSS2B,0,Friday,8:40,10:40,3,8:40,1.5
SCH-001-LSN-0012,SCH-001,TCH-00003,overworked_generalist,CRS,JSS2A,ROOM-JSS2A,1,Thursday,8:40,10:40,3,8:40,1.42
SCH-001-LSN-0013,SCH-001,TCH-00003,overworked_generalist,CRS,JSS3A,ROOM-JSS3A,1,Wednesday,10:00,12:20,3,10:00,1.49
SCH-001-LSN-0014,SCH-001,TCH-00004,nysc_corper,Basic Science,JSS2B,ROOM-JSS2B,1,Monday,13:00,13:40,1,13:00,4.5
SCH-001-LSN-0015,SCH-001,TCH-00004,nysc_corper,Basic Science,JSS3A,ROOM-JSS3A,1,Monday,13:40,14:20,1,13:40,4.5
SCH-001-LSN-0016,SCH-001,TCH-00005,veteran_staff_room_boss,Physics,SS3B,SCI-LAB-01,1,Monday,8:40,10:00,2,8:40,4
SCH-001-LSN-0017,SCH-001,TCH-00005,veteran_staff_room_boss,Physics,SS2A,SCI-LAB-01,1,Monday,10:00,11:20,2,10:00,4
SCH-001-LSN-0018,SCH-001,TCH-00005,veteran_staff_room_boss,Biology,SS3A,SCI-LAB-01,1,Tuesday,8:40,10:00,2,8:40,4
SCH-001-LSN-0019,SCH-001,TCH-00005,veteran_staff_room_boss,Physics,SS3A,SCI-LAB-01,1,Tuesday,10:00,11:20,2,10:00,4
SCH-001-LSN-0020,SCH-001,TCH-00006,nysc_corper,Civic Education,JSS3A,ROOM-JSS3A,1,Monday,13:00,13:40,1,13:00,4.5
SCH-001-LSN-0021,SCH-001,TCH-00006,nysc_corper,Civic Education,JSS2B,ROOM-JSS2B,1,Monday,13:40,14:20,1,13:40,4.5
SCH-001-LSN-0022,SCH-001,TCH-00007,veteran_staff_room_boss,Physics,SS2A,SCI-LAB-01,1,Monday,8:40,9:20,1,8:40,4
SCH-001-LSN-0023,SCH-001,TCH-00007,veteran_staff_room_boss,Physics,SS2A,SCI-LAB-01,1,Monday,9:20,10:00,1,9:20,4
SCH-001-LSN-0024,SCH-001,TCH-00007,veteran_staff_room_boss,Physics,SS3A,SCI-LAB-01,1,Wednesday,8:40,9:20,1,8:40,4
SCH-001-LSN-0025,SCH-001,TCH-00007,veteran_staff_room_boss,Physics,SS3B,SCI-LAB-01,1,Monday,10:00,10:40,1,10:00,4
SCH-001-LSN-0026,SCH-001,TCH-00007,veteran_staff_room_boss,Further Mathematics,SS3A,ROOM-SS3A,1,Wednesday,9:20,10:00,1,9:20,4
SCH-001-LSN-0027,SCH-001,TCH-00007,veteran_staff_room_boss,Physics,SS1A,SCI-LAB-01,1,Tuesday,10:00,10:40,1,10:00,4
SCH-001-LSN-0028,SCH-001,TCH-00008,overworked_generalist,CRS,JSS2A,ROOM-JSS2A,1,Wednesday,10:40,13:00,3,10:40,1.5
SCH-001-LSN-0029,SCH-001,TCH-00008,overworked_generalist,PHE,SS3A,ROOM-SS3A,1,Friday,8:40,10:40,3,8:40,1.49
SCH-001-LSN-0030,SCH-001,TCH-00008,overworked_generalist,CRS,SS2B,ROOM-SS2B,1,Thursday,10:40,13:00,3,10:40,1.44
