student_id,tenant_id,school_type,academic_year,term,fee_payment_days_late,paid_before_resumption,attendance_rate,consecutive_absences,score_avg,subject_failure_count,dropout_risk_label
STU-00001,2,low_cost_private,2025,Term1_Sep_Dec,65.5,0,66.7,8,32.6,3,HIGH
STU-00002,1,elite_private,2025,Term3_Apr_Jul,0,1,99.2,1,99.2,0,LOW
STU-00003,3,public_state,2023,Term1_Sep_Dec,27.5,0,59.1,6,51.4,2,MEDIUM
STU-00004,1,elite_private,2025,Term2_Jan_Apr,0,1,98.4,2,100,0,LOW
STU-00005,1,elite_private,2025,Term3_Apr_Jul,3.6,0,80.4,2,82.3,0,LOW
STU-00006,3,public_state,2024,Term2_Jan_Apr,21.2,0,55.0,2,20.8,3,MEDIUM
STU-00007,2,low_cost_private,2025,Term1_Sep_Dec,25.7,0,48.1,0,21.2,4,MEDIUM
STU-00008,2,low_cost_private,2023,Term1_Sep_Dec,26.5,0,43.7,13,20.8,6,HIGH
STU-00009,3,public_state,2025,Term1_Sep_Dec,33.7,0,39.2,3,26.6,4,HIGH
STU-00010,2,low_cost_private,2024,Term3_Apr_Jul,52.0,0,57.7,1,41.9,1,MEDIUM
STU-00011,1,elite_private,2025,Term1_Sep_Dec,0,1,100,0,98.4,0,LOW
STU-00012,3,public_state,2025,Term1_Sep_Dec,12.9,0,53.3,3,43.0,4,MEDIUM
STU-00013,3,public_state,2024,Term3_Apr_Jul,20.5,0,52.1,1,29.6,4,MEDIUM
STU-00014,2,low_cost_private,2023,Term1_Sep_Dec,86.1,0,73.2,6,61.8,0,MEDIUM
STU-00015,2,low_cost_private,2023,Term2_Jan_Apr,17.1,0,92.5,0,66.9,0,LOW
STU-00016,3,public_state,2023,Term1_Sep_Dec,17.3,0,72.7,0,42.4,2,MEDIUM
STU-00017,3,public_state,2025,Term3_Apr_Jul,25.3,0,73.0,9,29.7,4,HIGH
STU-00018,2,low_cost_private,2025,Term3_Apr_Jul,69.8,0,53.7,0,45.8,2,MEDIUM
STU-00019,3,public_state,2025,Term1_Sep_Dec,43.2,0,51.5,3,51.8,4,HIGH
STU-00020,3,public_state,2023,Term1_Sep_Dec,7.6,0,90.1,0,73.6,0,LOW
STU-00021,3,public_state,2023,Term1_Sep_Dec,8.2,0,33.1,9,42.3,4,HIGH
STU-00022,2,low_cost_private,2024,Term2_Jan_Apr,79.2,0,39.2,16,50.1,2,HIGH
STU-00023,3,public_state,2023,Term1_Sep_Dec,22.9,0,25.2,5,21.6,4,HIGH
STU-00024,2,low_cost_private,2024,Term2_Jan_Apr,120,0,44.3,5,27.0,4,HIGH
STU-00025,2,low_cost_private,2023,Term3_Apr_Jul,58.2,0,54.5,8,39.9,2,HIGH
STU-00026,3,public_state,2023,Term1_Sep_Dec,10.6,0,92.0,2,60,0,LOW
STU-00027,2,low_cost_private,2025,Term1_Sep_Dec,15.6,0,86.0,1,75.1,0,LOW
STU-00028,2,low_cost_private,2024,Term2_Jan_Apr,15.7,0,84.0,4,89.7,0,LOW
STU-00029,2,low_cost_private,2023,Term3_Apr_Jul,17.4,0,86.5,0,88.3,0,LOW
STU-00030,2,low_cost_private,2024,Term1_Sep_Dec,29.0,0,26.2,10,43.7,3,HIGH
STU-00031,2,low_cost_private,2024,Term1_Sep_Dec,15.5,0,91.0,0,81.7,0,LOW
STU-00032,1,elite_private,2024,Term3_Apr_Jul,0,1,100,0,100,0,LOW
STU-00033,1,elite_private,2023,Term2_Jan_Apr,11.9,0,67.2,2,72.4,0,LOW
STU-00034,1,elite_private,2023,Term3_Apr_Jul,0,1,98.9,1,92.9,0,LOW
STU-00035,3,public_state,2024,Term1_Sep_Dec,50.0,0,60.7,5,39.9,3,HIGH
STU-00036,3,public_state,2023,Term1_Sep_Dec,13.8,0,80.7,3,48.3,0,LOW
STU-00037,3,public_state,2024,Term1_Sep_Dec,44.1,0,42.6,10,46.9,3,HIGH
STU-00038,3,public_state,2023,Term1_Sep_Dec,6.1,0,91.8,1,76.0,0,LOW
STU-00039,2,low_cost_private,2025,Term2_Jan_Apr,25.7,0,28.1,16,44.1,4,HIGH
STU-00040,3,public_state,2023,Term2_Jan_Apr,20.4,0,64.1,3,30.7,6,HIGH
STU-00041,1,elite_private,2024,Term3_Apr_Jul,0,1,100,0,87.6,0,LOW
STU-00042,2,low_cost_private,2025,Term1_Sep_Dec,15.1,0,51.8,2,37.6,4,MEDIUM
STU-00043,2,low_cost_private,2024,Term2_Jan_Apr,26.9,0,46.6,1,24.2,3,HIGH
STU-00044,2,low_cost_private,2024,Term1_Sep_Dec,83.1,0,41.9,4,47.6,2,HIGH
STU-00045,1,elite_private,2025,Term2_Jan_Apr,0,1,100,0,87.4,0,LOW
STU-00046,3,public_state,2024,Term3_Apr_Jul,51.4,0,51.3,1,36.4,6,HIGH
STU-00047,2,low_cost_private,2025,Term1_Sep_Dec,37.6,0,34.6,8,28.6,3,HIGH
STU-00048,3,public_state,2024,Term1_Sep_Dec,60,0,44.7,1,23.5,5,HIGH
STU-00049,2,low_cost_private,2025,Term3_Apr_Jul,67.4,0,69.8,4,35.5,3,HIGH
STU-00050,3,public_state,2024,Term3_Apr_Jul,16.6,0,39.9,1,44.4,3,MEDIUM
STU-00051,2,low_cost_private,2024,Term2_Jan_Apr,14.6,0,88.6,0,81.7,0,LOW
STU-00052,1,elite_private,2023,Term3_Apr_Jul,11.6,0,71.9,3,57.1,1,MEDIUM
STU-00053,2,low_cost_private,2025,Term3_Apr_Jul,18.9,0,82.4,1,62.8,0,LOW
STU-00054,2,low_cost_private,2025,Term2_Jan_Apr,20.0,0,34.9,13,31.2,4,HIGH
STU-00055,2,low_cost_private,2025,Term2_Jan_Apr,63.3,0,45.5,8,43.1,2,HIGH
STU-00056,2,low_cost_private,2023,Term1_Sep_Dec,40.3,0,56.1,5,45.2,2,MEDIUM
STU-00057,2,low_cost_private,2024,Term2_Jan_Apr,48.0,0,20.8,12,28.8,6,HIGH
STU-00058,1,elite_private,2023,Term3_Apr_Jul,12.1,0,73.3,2,72.4,0,LOW
STU-00059,1,elite_private,2024,Term3_Apr_Jul,0,1,83.8,0,80.5,0,LOW
STU-00060,3,public_state,2025,Term1_Sep_Dec,5.9,0,94.8,0,76.8,0,LOW
STU-00061,1,elite_private,2025,Term3_Apr_Jul,0,1,100,0,86.6,0,LOW
STU-00062,2,low_cost_private,2024,Term1_Sep_Dec,56.0,0,50.6,4,41.0,2,MEDIUM
STU-00063,2,low_cost_private,2025,Term2_Jan_Apr,61.3,0,62.4,0,52.9,2,MEDIUM
