score_id,student_id,subject_id,term,exam_type,score,max_score,date_recorded
1,1,1,First Term,Midterm,94.6,100,2025-10-20
2,1,1,First Term,Final,79.3,100,2025-12-05
3,1,2,First Term,Midterm,77.3,100,2025-10-20
4,1,2,First Term,Final,54.1,100,2025-12-05
5,2,3,First Term,Midterm,83.6,100,2025-10-20
6,2,3,First Term,Final,53.7,100,2025-12-05
7,2,4,First Term,Midterm,65.1,100,2025-10-20
8,2,4,First Term,Final,97.4,100,2025-12-05
9,3,5,First Term,Midterm,78.9,100,2025-10-20
10,3,5,First Term,Final,74.5,100,2025-12-05
11,3,6,First Term,Midterm,81.3,100,2025-10-20
12,3,6,First Term,Final,89.7,100,2025-12-05
13,4,5,First Term,Midterm,86.1,100,2025-10-20
14,4,5,First Term,Final,57.1,100,2025-12-05
15,4,6,First Term,Midterm,46.7,100,2025-10-20
16,4,6,First Term,Final,61.7,100,2025-12-05
17,5,5,First Term,Midterm,59.2,100,2025-10-20
18,5,5,First Term,Final,56.2,100,2025-12-05
19,5,6,First Term,Midterm,95.0,100,2025-10-20
20,5,6,First Term,Final,91.4,100,2025-12-05
21,6,5,First Term,Midterm,61.7,100,2025-10-20
22,6,5,First Term,Final,79.7,100,2025-12-05
23,6,6,First Term,Midterm,66.0,100,2025-10-20
24,6,6,First Term,Final,93.5,100,2025-12-05
25,7,3,First Term,Midterm,69.3,100,2025-10-20
26,7,3,First Term,Final,59.0,100,2025-12-05
27,7,4,First Term,Midterm,58.1,100,2025-10-20
28,7,4,First Term,Final,74.8,100,2025-12-05
29,8,3,First Term,Midterm,58.9,100,2025-10-20
30,8,3,First Term,Final,76.0,100,2025-12-05
31,8,4,First Term,Midterm,92.6,100,2025-10-20
32,8,4,First Term,Final,66.2,100,2025-12-05
33,9,1,First Term,Midterm,56.6,100,2025-10-20
34,9,1,First Term,Final,97.9,100,2025-12-05
35,9,2,First Term,Midterm,72.0,100,2025-10-20
36,9,2,First Term,Final,49.8,100,2025-12-05
37,10,5,First Term,Midterm,47.5,100,2025-10-20
38,10,5,First Term,Final,50.8,100,2025-12-05
39,10,6,First Term,Midterm,78.3,100,2025-10-20
40,10,6,First Term,Final,87.0,100,2025-12-05
